id,placeholder1,Lat,Lon,HarvestYear,placeholder2
56400,.,7.0,7.833333333333333,1983,.
56418,.,11.066666666666666,7.7,1983,.
56443,.,7.413333333333334,3.9138888888888888,1983,.
56444,.,7.413333333333334,3.9138888888888888,1983,.
56451,.,7.413333333333334,3.9138888888888888,1983,.
56452,.,7.413333333333334,3.9138888888888888,1983,.
56453,.,6.866666666666667,7.4,1983,.
56455,.,6.866666666666667,7.4,1983,.
56457,.,6.866666666666667,7.4,1983,.
56459,.,6.866666666666667,7.4,1983,.
56461,.,6.866666666666667,7.4,1983,.
56463,.,6.866666666666667,7.4,1983,.
56465,.,6.866666666666667,7.4,1983,.
56467,.,6.866666666666667,7.4,1983,.
56469,.,6.866666666666667,7.4,1983,.
56471,.,6.866666666666667,7.4,1983,.
56473,.,6.866666666666667,7.4,1983,.
56475,.,6.866666666666667,7.4,1983,.
56477,.,6.866666666666667,7.4,1983,.
56479,.,6.866666666666667,7.4,1983,.
56481,.,6.866666666666667,7.4,1983,.
56483,.,6.866666666666667,7.4,1983,.
56725,.,7.5,3.9,1983,.
56726,.,7.5,3.9,1983,.
56789,.,5.466666666666667,7.016666666666667,1983,.
57128,.,7.0,7.833333333333333,1983,.
57146,.,11.066666666666666,7.7,1983,.
57171,.,7.413333333333334,3.9138888888888888,1983,.
57172,.,7.413333333333334,3.9138888888888888,1983,.
57179,.,7.413333333333334,3.9138888888888888,1983,.
57180,.,7.413333333333334,3.9138888888888888,1983,.
57181,.,6.866666666666667,7.4,1983,.
57183,.,6.866666666666667,7.4,1983,.
57185,.,6.866666666666667,7.4,1983,.
57187,.,6.866666666666667,7.4,1983,.
57189,.,6.866666666666667,7.4,1983,.
57191,.,6.866666666666667,7.4,1983,.
57193,.,6.866666666666667,7.4,1983,.
57195,.,6.866666666666667,7.4,1983,.
57197,.,6.866666666666667,7.4,1983,.
57199,.,6.866666666666667,7.4,1983,.
57201,.,6.866666666666667,7.4,1983,.
57203,.,6.866666666666667,7.4,1983,.
57205,.,6.866666666666667,7.4,1983,.
57207,.,6.866666666666667,7.4,1983,.
57209,.,6.866666666666667,7.4,1983,.
57211,.,6.866666666666667,7.4,1983,.
57453,.,7.5,3.9,1983,.
57454,.,7.5,3.9,1983,.
57517,.,5.466666666666667,7.016666666666667,1983,.
